,PMID,FAU,TI,AB,IS,DP,AUID,AID,LA,PL,OT,CI,RN,MH
1399,33889707,"['Urban, Joseph F Jr', 'Nielsen, Martin K', 'Gazzola, David', 'Xie, Yue', 'Beshah, Ethiopia', 'Hu, Yan', 'Li, Hanchen', 'Rus, Florentina', 'Flanagan, Kelly', 'Draper, Austin', 'Vakalapudi, Sridhar', 'Li, Robert W', 'Ostroff, Gary R', 'Aroian, Raffi V']",An inactivated bacterium (paraprobiotic) expressing Bacillus thuringiensis Cry5B as a therapeutic for Ascaris and Parascaris spp. infections in large animals.,"Ascaris and Parascaris are important parasites in the family Ascarididae, large, ubiquitous intestinal-dwelling nematodes infecting all classes of vertebrates. Parasitic nematode drug resistance in veterinary medicine and drug recalcitrance in human medicine are increasing worldwide, with few if any new therapeutic classes on the horizon. Some of these parasites are zoonotic, e.g., Ascaris is passed from humans to pigs and vice versa. The development of new therapies against this family of parasites would have major implications for both human and livestock health. Here we tested the therapeutic ability of a paraprobiotic or dead probiotic that expresses the Bacillus thuringiensis Cry5B protein with known anthelmintic properties, against zoonotic Ascaris suum and Parascaris spp. This paraprobiotic, known as IBaCC, intoxicated A. suum larvae in vitro and was highly effective in vivo against intestinal A. suum infections in a new mouse model for this parasite. Fermentation was scaled up to 350 l to treat pigs and horses. Single dose Cry5B IBaCC nearly completely cleared A. suum infections in pigs. Furthermore, single dose Cry5B IBaCC drove fecal egg counts in Parascaris-infected foals to zero, showing at least parity with, and potential superiority to, current efficacy of anthelmintics used against this parasite. Cry5B IBaCC therefore represents a new, paraprobiotic One Health approach towards targeting Ascarididae that is safe, effective, massively scalable, stable, and useful in human and veterinary medicine in both the developed and developing regions of the world.",2352-7714 (Print) 2352-7714 (Linking),2021 Jun,,"['10.1016/j.onehlt.2021.100241 [doi]', 'S2352-7714(21)00031-8 [pii]']",['eng'],Netherlands,"['Anthelmintic', 'Ascaris', 'Bacillus thuringiensis', 'Cry5B crystal protein', 'Paraprobiotic', 'Parascaris']",['(c) 2021 The Author(s).'],,
1400,33884467,"['Diaz Pacheco, Adrian', 'Delgado-Macuil, Raul Jacobo', 'Diaz-Pacheco, Angel', 'Larralde-Corona, Claudia Patricia', 'Dinorin-Tellez-Giron, Jabel', 'Lopez-Y-Lopez, Victor Eric']",Use of equivalent circuit analysis and Cole-Cole model in evaluation of bioreactor operating conditions for biomass monitoring by impedance spectroscopy.,"The most important parameter in bioprocesses is biomass, where not only the quantity produced in a culture but also the behavior that is presented are important concerns. It is clear that conditions of operation in a bioreactor affect biomass production, but how operation conditions affect the measurement of biomass on-line is of special interest. We studied the effect of bioreactor operating condition variations on model parameters using impedance spectroscopy for biomass monitoring. The model parameters analyzed were capacitance, resistance, alpha (alpha), conductivity delta (sigma) and critical frequency (fc). These model parameters were obtained by fitting data from impedance measurements to an equivalent circuit model and Cole-Cole conductivity model. The effect of operating conditions on the medium with no cells was estimated by the percentage of change in each model parameter. The operating conditions with the most significant percentage of change were determined, by comparing to the percentage of change of the same model parameters obtained, during a fermentation of Bacillus thuringiensis as a cellular model. Equivalent circuit parameters were mainly affected by variation in pH, temperature and aeration, whereas Cole-Cole parameters were affected by variation in agitation, aeration, temperature and pH. Therefore, any variation in these operating conditions (within the test interval) during a fermentation may generate changes in monitoring parameters, which will not be a direct consequence of any change in the properties of the biomass.",1615-7605 (Electronic) 1615-7591 (Linking),2021 Apr 21,['ORCID: http://orcid.org/0000-0002-1885-2901'],"['10.1007/s00449-021-02572-0 [doi]', '10.1007/s00449-021-02572-0 [pii]']",['eng'],Germany,"['Bacillus thuringiensis', 'Bioreactors', 'Cole-Cole', 'Impedance spectroscopy', 'Operating conditions', 'Zarc circuit']",,,
1401,33883036,"['Shimono, Takaki', 'Kanda, Seiji', 'Lamaningao, Pheophet', 'Murakami, Yuki', 'Darcy, Andrew Waleluma', 'Mishima, Nobuyuki', 'Inthavongsack, Somchit', 'Soprasert, Odai', 'Xaypangna, Thonelakhanh', 'Nishiyama, Toshimasa']",Phenotypic and haplotypic profiles of insecticide resistance in populations of Aedes aegypti larvae (Diptera: Culicidae) from central Lao PDR.,"BACKGROUND: Aedes aegypti, which is widely distributed in the Lao People's Democratic Republic (PDR), is the primary vector of arboviral diseases. Chemical insecticides have been intensively used to eliminate mosquito-borne diseases, resulting in the development of insecticide resistance. However, little is known about the insecticide resistance of mosquito populations in Lao PDR and the mechanisms responsible for it, which have important implications for vector management programs. Here, we examined the phenotypic and haplotypic profiles of insecticide resistance in populations of Ae. aegypti larvae from central Lao PDR. METHODS: Ae. aegypti larvae were collected from four sites in Lao PDR, and their susceptibility to temephos, deltamethrin, permethrin, and Bacillus thuringiensis israelensis (Bti) was tested using larval bioassays. Synergistic tests were also conducted to evaluate the activity of insecticide-metabolizing enzymes in the larvae. Deltamethrin-resistant and Deltamethrin-susceptible larvae were then genotyped for knockdown resistance (kdr) mutations to determine the associations between each genotype and resistance. RESULTS: Ae. aegypti larvae from central Lao PDR were considered to be ""resistant"" (<98% mortality) to organophosphates and pyrethroids. The bio-insecticide Bti remains effective against such larvae. The resistance mechanisms of Ae. aegypti larvae were found to vary among populations, especially for pyrethroid resistance. Kdr mutations were significantly associated with deltamethrin resistance in Ae. aegypti from the Xaythany population. In contrast, synergist assays with piperonyl butoxide suggested that cytochrome P450 monooxygenases played an important role in the resistance seen in the Khounkham and Thakhek populations. CONCLUSION: This study obtained information that will aid the design and implementation of insecticide-based vector management of Ae. aegypti in central Lao PDR. Ae. aegypti larvae from central Lao PDR were highly susceptible to Bti, while they were resistant to temephos at a diagnostic dose of 0.0286 mg/L. Given the limited number of insecticides that are approved for vector control, it is important to alternate between temephos and other larvicides, such as Bti and pyriproxyfen. The differences in pyrethroid resistance mechanisms seen among the Ae. aegypti populations highlight the need to tailor vector-control strategies to each region to increase the success of dengue control in Lao PDR.",1348-8945 (Print) 1348-8945 (Linking),2021 Apr 21,['ORCID: http://orcid.org/0000-0002-1797-3509'],"['10.1186/s41182-021-00321-3 [doi]', '10.1186/s41182-021-00321-3 [pii]']",['eng'],Japan,"['Aedes aegypti', 'Bioassay', 'Dengue', 'Insecticide resistance', 'Lao PDR', 'P450s', 'Synergist', 'kdr mutation']",,,
1402,33876257,"['Empey, Madelaine A', 'Lefebvre-Raine, Molly', 'Gutierrez-Villagomez, Juan Manuel', 'Langlois, Valerie S', 'Trudeau, Vance L']",A Review of the Effects of the Biopesticides Bacillus thuringiensis Serotypes israelensis (Bti) and kurstaki (Btk) in Amphibians.,"Insecticides are important in agriculture, to reduce human disease, and to decrease the nuisance of biting insects. Despite this, many have the potential for environmental impacts and toxicity in nontarget organisms. We reviewed data on the effects of insecticides based on toxins from Bacillus thuringiensis var. israelensis (Bti) and Bacillus thuringiensis var. kurstaki (Btk) on amphibians. The few peer-reviewed publications that are available for Bti provide variable conclusions, ranging from few observable effects to evidence of acute toxicity at high concentrations. We briefly highlight the current controversies and identify key areas for future investigation.",1432-0703 (Electronic) 0090-4341 (Linking),2021 May,['ORCID: http://orcid.org/0000-0002-0845-9444'],"['10.1007/s00244-021-00842-2 [doi]', '10.1007/s00244-021-00842-2 [pii]']",['eng'],United States,,,['0 (Biological Control Agents)'],"['Amphibians', 'Animals', '*Bacillus thuringiensis', 'Biological Control Agents/toxicity', 'Humans', 'Larva', 'Serogroup']"
1403,33859734,"['Anastassiadou, Maria', 'Arena, Maria', 'Auteri, Domenica', 'Brancato, Alba', 'Bura, Laszlo', 'Carrasco Cabrera, Luis', 'Chaideftou, Eugenia', 'Chiusolo, Arianna', 'Crivellente, Federica', 'De Lentdecker, Chloe', 'Egsmose, Mark', 'Fait, Gabriella', 'Greco, Luna', 'Ippolito, Alessio', 'Istace, Frederique', 'Jarrah, Samira', 'Kardassi, Dimitra', 'Leuschner, Renata', 'Lostia, Alfonso', 'Lythgo, Christopher', 'Magrans, Oriol', 'Mangas, Iris', 'Miron, Ileana', 'Molnar, Tunde', 'Padovani, Laura', 'Parra Morte, Juan Manuel', 'Pedersen, Ragnor', 'Reich, Hermine', 'Santos, Miguel', 'Sharp, Rachel', 'Szentes, Csaba', 'Terron, Andrea', 'Tiramani, Manuela', 'Vagenende, Benedicte', 'Villamar-Bouza, Laura']",Peer review of the pesticide risk assessment of the active substance Bacillus thuringiensis subsp. kurstaki strain EG2348.,"The conclusions of the European Food Safety Authority (EFSA) following the peer review of the initial risk assessments carried out by the competent authorities of the rapporteur Member State, Denmark, and co-rapporteur Member State, the Netherlands, for the pesticide active substance Bacillus thuringiensis subsp. kurstaki strain EG2348 and the considerations as regards the inclusion of the substance in Annex IV of Regulation (EC) No 396/2005 are reported. The context of the peer review was that required by Commission Implementing Regulation (EU) No 844/2012, as amended by Commission Implementing Regulation (EU) No 2018/1659. The conclusions were reached on the basis of the evaluation of the representative uses of Bacillus thuringiensis kurstaki strain EG2348 as an insecticide on pome fruits (field use), solanaceous fruiting vegetables (uses in permanent greenhouse and walk-in tunnel) and ornamentals (field, permanent greenhouse and walk-in tunnel uses). The reliable end points, appropriate for use in regulatory risk assessment, are presented. Missing information identified as being required by the regulatory framework is listed. Concerns are identified.",1831-4732 (Electronic) 1831-4732 (Linking),2021 Apr,,"['10.2903/j.efsa.2021.6495 [doi]', 'EFS26495 [pii]']",['eng'],United States,"['Bacillus thuringiensis kurstaki subsp. strain EG2348', 'insecticide', 'peer review', 'pesticide', 'risk assessment']","['(c) 2021 European Food Safety Authority. EFSA Journal published by John Wiley and', 'Sons Ltd on behalf of European Food Safety Authority.']",,
1404,33855634,"['Jiang, Zhenqiang', 'Ma, Suai', 'Guan, Leying', 'Yan, Qiaojuan', 'Yang, Shaoqing']",Biochemical characterization of a novel bifunctional chitosanase from Paenibacillus barengoltzii for chitooligosaccharide production.,"A novel chitosanase gene, designated as PbCsn8, was cloned from Paenibacillus barengoltzii. It shared the highest identity of 73% with the glycoside hydrolase (GH) family 8 chitosanase from Bacillus thuringiensis JAM-GG01. The gene was heterologously expressed in Bacillus subtilis as an extracellular protein, and the highest chitosanase yield of 1, 108 U/mL was obtained by high-cell density fermentation in a 5-L fermentor. The recombinant chitosanase (PbCsn8) was purified to homogeneity and biochemically characterized. PbCsn8 was most active at pH 5.5 and 70 degrees C, respectively. It was stable in a wide pH range of 5.0-11.0 and up to 55 degrees C. PbCsn8 was a bifunctional enzyme, exhibiting both chitosanase and glucanase activities, with the highest specificity towards chitosan (360 U/mg), followed by barley beta-glucan (72 U/mg) and lichenan (13 U/mg). It hydrolyzed chitosan to release mainly chitooligosaccharides (COSs) with degree of polymerization (DP) 2-3, while hydrolyzed barley beta-glucan to yield mainly glucooligosaccharides with DP > 5. PbCsn8 was further applied in COS production, and the highest COS yield of 79.3% (w/w) was obtained. This is the first report on a GH family 8 chitosanase from P. barengoltzii. The high yield and remarkable hydrolysis properties may make PbCsn8 a good candidate in industrial application.",1573-0972 (Electronic) 0959-3993 (Linking),2021 Apr 15,['ORCID: http://orcid.org/0000-0002-8708-677X'],"['10.1007/s11274-021-03051-0 [doi]', '10.1007/s11274-021-03051-0 [pii]']",['eng'],Germany,"['Bifunctional enzyme', 'Characterization', 'Chitooligosaccharide', 'Chitosanase', 'Paenibacillus barengoltzii']",,,
1405,33854577,"['Anastassiadou, Maria', 'Arena, Maria', 'Auteri, Domenica', 'Brancato, Alba', 'Bura, Laszlo', 'Carrasco Cabrera, Luis', 'Chaideftou, Eugenia', 'Chiusolo, Arianna', 'Crivellente, Federica', 'De Lentdecker, Chloe', 'Egsmose, Mark', 'Fait, Gabriella', 'Greco, Luna', 'Ippolito, Alessio', 'Istace, Frederique', 'Jarrah, Samira', 'Kardassi, Dimitra', 'Leuschner, Renata', 'Lostia, Alfonso', 'Lythgo, Christopher', 'Magrans, Oriol', 'Mangas, Iris', 'Miron, Ileana', 'Molnar, Tunde', 'Padovani, Laura', 'Parra Morte, Juan Manuel', 'Pedersen, Ragnor', 'Reich, Hermine', 'Santos, Miguel', 'Sharp, Rachel', 'Szentes, Csaba', 'Terron, Andrea', 'Tiramani, Manuela', 'Vagenende, Benedicte', 'Villamar-Bouza, Laura']",Peer review of the pesticide risk assessment of the active substance Bacillus thuringiensis subsp. kurstaki strain PB 54.,"The conclusions of the EFSA following the peer review of the initial risk assessments carried out by the competent authorities of the rapporteur Member State, Denmark, and co-rapporteur Member State, the Netherlands, for the pesticide active substance Bacillus thuringiensis subsp. kurstaki strain PB 54 and the considerations as regards the inclusion of the substance in Annex IV of Regulation (EC) No 396/2005 are reported. The context of the peer review was that required by Commission Implementing Regulation (EU) No 844/2012, as amended by Commission Implementing Regulation (EU) No 2018/1659. The conclusions were reached on the basis of the evaluation of the representative uses of Bacillus thuringiensis subsp. kurstaki strain PB 54 as an insecticide on stone fruit and ornamentals (field uses) and tomato (field, permanent greenhouse and walk-in tunnel uses). The reliable end points, appropriate for use in regulatory risk assessment, are presented. Missing information identified as being required by the regulatory framework is listed. Concerns are identified.",1831-4732 (Electronic) 1831-4732 (Linking),2021 Apr,,"['10.2903/j.efsa.2021.6496 [doi]', 'EFS26496 [pii]']",['eng'],United States,"['Bacillus thuringiensis subsp. kurstaki strain PB 54', 'insecticide', 'peer review', 'pesticide', 'risk assessment']","['(c) 2021 European Food Safety Authority. EFSA Journal published by John Wiley and', 'Sons Ltd on behalf of European Food Safety Authority.']",,
1406,33854098,"['Mastore, Maristella', 'Quadroni, Silvia', 'Brivio, Maurizio F']",Susceptibility of Drosophila suzukii larvae to the combined administration of the entomopathogens Bacillus thuringiensis and Steinernema carpocapsae.,"Non-native pests are often responsible for serious crop damage. Since Drosophila suzukii has invaded North America and Europe, the global production of soft, thin-skinned fruits has suffered severe losses. The control of this dipteran by pesticides, although commonly used, is not recommended because of the negative impact on the environment and human health. A possible alternative is the use of bio-insecticides, including Bacillus thuringiensis and entomopathogenic nematodes, such as Steinernema carpocapsae. These biological control agents have a fair effectiveness when used individually on D. suzukii, but both have limits related to different environmental, methodological, and physiological factors. In this work, we tested various concentrations of B. thuringiensis and S. carpocapsae to evaluate their efficacy on D. suzukii larvae, when administered individually or in combination by using agar traps. In the combined trials, we added the nematodes after 16 h or concurrently to the bacteria, and assessed larvae lethality from 16 to 48 h. The assays demonstrated a higher efficacy of the combined administration, both time-shifted and concurrent; the obtained data also showed a relevant decrease of the time needed to kill the larvae. Particularly, the maximum mortality rate, corresponding to 79% already at 16 h, was observed with the highest concentrations (0.564 microg/mL of B. thuringiensis and 8 x 10(2) IJs of S. carpocapsae) in the concurrent trials. This study, conducted by laboratory tests under controlled conditions, is a good starting point to develop a further application step through field studies for the control of D. suzukii.",2045-2322 (Electronic) 2045-2322 (Linking),2021 Apr 14,['ORCID: http://orcid.org/0000-0002-1002-0422'],"['10.1038/s41598-021-87469-4 [doi]', '10.1038/s41598-021-87469-4 [pii]']",['eng'],England,,,,
1407,33883098,"['Olcese, C', 'Casciaro, R', 'Pirlo, D', 'Debbia, C', 'Castagnola, E', 'Cresta, F', 'Castellani, C']",SARS-CoV-2 and Burkholderia cenocepacia infection in a patient with Cystic Fibrosis: An unfavourable conjunction?,"The effects of the concomitant infection by COVID-19 and Burkholderia cepacia (Bc) in CF are not known. We describe the case of a 34 years woman with CF, colonized by Bc and found SARS-CoV2 positive. In the first hospital week she suffered acute respiratory failure and chest imaging showed interstitial involvement and multiple thickenings. She was treated with antibiotics, dexamethasone, remdesivir and heparin, with gradual improvement and discharge at day 20th. The reciprocal role of SARS-CoV-2 and Bc, their potential interactions and the contribution of the individual therapies to the favourable outcome are unclear. It is debatable whether it was SARS-CoV2 that triggered a Bc pulmonary exacerbation or if the chronic Bc infection facilitated the development of a COVID-19 more aggressive than usually seen in CF. If the latter hypothesis were confirmed by similar cases, Bc colonization should be regarded as a risk factor for severe COVID-19 expression in CF.",1873-5010 (Electronic) 1569-1993 (Linking),2021 Apr 8,,"['S1569-1993(21)00106-5 [pii]', '10.1016/j.jcf.2021.03.024 [doi]']",['eng'],Netherlands,"['Burkholderia cepacia', 'Cystic Fibrosis', 'Pulmonary exacerbation', 'SARS-CoV-2 COVID-19']",['Copyright (c) 2021. Published by Elsevier B.V.'],,
1408,33866991,"['Saalfeld, Silvia Maria Dos Santos', 'Shinohara, Danielle Rosani', 'Silva, Josy Anne', 'Machado, Maria Emilia Avelar', 'Mitsugui, Cecilia Saori', 'Tamura, Nathalie Kira', 'Nishiyama, Sheila Alexandra Belini', 'Tognim, Maria Cristina Bronharo']",Inter-hospital outbreak of Burkholderia cepacia complex VAP caused by contaminated mouthwash in coronavirus disease 2019 (COVID-19) patients.,,1559-6834 (Electronic) 0899-823X (Linking),2021 Apr 19,['ORCID: https://orcid.org/0000-0002-3887-362X'],"['S0899823X21001835 [pii]', '10.1017/ice.2021.183 [doi]']",['eng'],United States,,,,
1409,33862079,"['Wang, Xiaoxuan', 'Zhang, Muchen', 'Loh, Belinda', 'Leptihn, Sebastian', 'Ahmed, Temoor', 'Li, Bin']","A novel NRPS cluster, acquired by horizontal gene transfer from algae, regulates siderophore iron metabolism in Burkholderia seminalis R456.","In an environment with limited iron levels, sufficiently high intracellular iron concentrations are critical for bacterial survival. When iron levels are low, many bacteria including those of the Burkholderia cepacia group secrete chemically diverse siderophores to capture Fe(3+). The synthesis of the two main siderophores, ornibactin and pyochelin, is regulated in an iron concentration dependent manner via the regulator protein Fur. In this study, we identified a novel Nonribosomal Peptide Synthetase (NRPS) cluster in strain R456 of Burkholderia seminalis, a member of the B. cepacia group. We show that the NRPS cluster not only allows the production of a so-far undescribed siderophore, but is also required for ornibactin and pyochelin production as it is a crucial component in the signaling pathway targeting the global iron regulating effector Fur which regulates siderophore production. Furthermore, the NRPS cluster is also involved in cell motility and biofilm formation, both of which are directly dependent on iron concentration in various bacteria. Interestingly, our data suggests that this newly discovered NRPS cluster which regulates siderophore iron metabolism in bacteria was obtained by horizontal gene transfer from algae.",1879-0003 (Electronic) 0141-8130 (Linking),2021 Apr 19,,"['S0141-8130(21)00803-5 [pii]', '10.1016/j.ijbiomac.2021.04.051 [doi]']",['eng'],Netherlands,"['Burkholderia seminalis', 'HPLC-MS', 'Horizontal gene transfer', 'Iron', 'NRPS cluster', 'Siderophore']",['Copyright (c) 2021 Elsevier B.V. All rights reserved.'],,
1410,33848860,"['Xu, Minglan', 'Tsona, Narcisse T', 'Cheng, Shumin', 'Li, Jianlong', 'Du, Lin']",Unraveling interfacial properties of organic-coated marine aerosol with lipase incorporation.,"Marine aerosols are believed to have an organic surface coating on which fatty acids act as an important component due to their high surface activity. In addition, various kinds of enzyme species are abundantly found in seawater, some of which have been identified to exist in marine aerosols. Herein, from the perspective of marine aerosol interface simulation, we investigate the effect of Burkholderia cepacia lipase on the surface properties of stearic acid (SA) monolayer at the air-water interface by using surface-sensitive techniques of Langmuir trough and Infrared reflection-absorption spectroscopy (IRRAS). Our findings indicate that the stearic acid film undergoes a significant expansion, especially when the lipase concentration is 500 nM, because of the incorporation of lipase as observed from the surface pressure-area (pi-A) isotherms. IRRAS spectra also show reduced intensities and ordering in the methylene stretching vibration region of stearic acid as a result of low surface density and disordered packing as the enzyme concentration increases. In particular, when the concentration of lipase is 500 nM, the lowest Ias/Is values are shown on both pure water subphase and artificial seawater subphase, indicating more gauche conformations for SA. Furthermore, SA films with lipase incorporation were also studied at three different pH of subphase environment, considering the decrease of pH caused by the reaction with acidic gases during the aerosol aging process. The results reflect a more pronounced expansion of SA monolayer in acidic environment at pH 2.5, suggesting that hydrophobic interaction plays an important role in the disorder of the SA monolayer. In view of the coexistence of fatty acids and enzymes in the marine environment, this study provides a further understanding of the surface organization and behavior of organic-coated marine aerosols and deepen the knowledge of lipid-enzyme interfacial interactions occurring in the atmosphere.",1879-1026 (Electronic) 0048-9697 (Linking),2021 Apr 5,,"['S0048-9697(21)01963-X [pii]', '10.1016/j.scitotenv.2021.146893 [doi]']",['eng'],Netherlands,"['Interfacial behavior', 'Langmuir monolayer', 'Lipase', 'Marine aerosol', 'Stearic acid']",['Copyright (c) 2021 Elsevier B.V. All rights reserved.'],,
1411,33822465,"['Pimenta, Andreia I', 'Kilcoyne, Michelle', 'Bernardes, Nuno', 'Mil-Homens, Dalila', 'Joshi, Lokesh', 'Fialho, Arsenio M']","Burkholderia cenocepacia BCAM2418-induced antibody inhibits bacterial adhesion, confers protection to infection and enables identification of host glycans as adhesin targets.","Trimeric Autotransporter Adhesins (TAA) found in Gram-negative bacteria play a key role in virulence. This is the case of Burkholderia cepacia complex (Bcc), a group of related bacteria able to cause infections in patients with cystic fibrosis. These bacteria use TAAs, among other virulence factors, to bind to host protein receptors and their carbohydrate ligands. Blocking such contacts is an attractive approach to inhibit Bcc infections. In this study, using an antibody produced against the TAA BCAM2418 from the epidemic strain Burkholderia cenocepacia K56-2, we were able to uncover its roles as an adhesin and the type of host glycan structures that serve as recognition targets. The neutralisation of BCAM2418 was found to cause a reduction in the adhesion of the bacteria to bronchial cells and mucins. Moreover, in vivo studies have shown that the anti-BCAM2418 antibody exerted an inhibitory effect during infection in Galleria mellonella. Finally, inferred by glycan arrays, we were able to predict for the first time, host glycan epitopes for a TAA. We show that BCAM2418 favoured binding to 3'sialyl-3-fucosyllactose, histo-blood group A, alpha-(1,2)-linked Fuc-containing structures, Lewis structures and GM1 gangliosides. In addition, the glycan microarrays demonstrated similar specificities of Burkholderia species for their most intensely binding carbohydrates.",1462-5822 (Electronic) 1462-5814 (Linking),2021 Apr 6,['ORCID: https://orcid.org/0000-0002-8066-5787'],['10.1111/cmi.13340 [doi]'],['eng'],England,"['Burkholderia cepacia complex', 'adhesin antibody', 'host glycans as adhesin targets', 'trimeric autotransporter adhesins']",['(c) 2021 John Wiley & Sons Ltd.'],,
1412,33808547,"['Holm, Anna Engell', 'Schultz, Hans Henrik Lawaetz', 'Johansen, Helle Krogh', 'Pressler, Tania', 'Lund, Thomas Kromann', 'Iversen, Martin', 'Perch, Michael']",Bacterial Re-Colonization Occurs Early after Lung Transplantation in Cystic Fibrosis Patients.,"Most cystic fibrosis (CF) patients referred for lung transplantation are chronically infected with Gram-negative opportunistic pathogens. It is well known that chronic infections in CF patients have a significant impact on lung-function decline and survival before transplantation. The rate and timing of re-colonization after transplantation have been described, but the impact on survival after stratification of bacteria is not well elucidated. We did a single-center retrospective analysis of 99 consecutive CF patients who underwent lung transplantation since the beginning of the Copenhagen Lung Transplant program in 1992 until October 2014. Two patients were excluded due to re-transplantation. From the time of CF diagnosis, patients had monthly sputum cultures. After transplantation, CF-patients had bronchoscopy with bronchoalveolar lavage at 2, 4, 6 and 12 weeks and 6, 12, 18 and 24 months after transplantation, as well as sputum samples if relevant. Selected culture results prior to and after transplantation were stored. We focused on colonization with the most frequent bacteria: Pseudomonas aeruginosa (PA), Stenotrophomonas maltophilia (SM), Achromobacter xylosoxidans (AX) and Burkholderia cepacia complex (BCC). Pulsed-field gel electrophoresis (PFGE) was used to identify clonality of bacterial isolates obtained before and after lung transplantation. Time to re-colonization was defined as the time from transplantation to the first positive culture with the same species. Seventy-three out of 97 (75%) had sufficient culture data for analyses with a median of 7 (1-91) cultures available before and after transplantation. Median colonization-free survival time was 23 days until the first positive culture after transplantation. After 2 years, 59 patients (81%) were re-colonized, 33 (48.5%) with PA, 7 (10.3%) with SM, 12 (17.6%) with AX, and 7 (10.3%) with BCC. No difference in survival was observed between the patients colonized within the first 2 years and those not colonized. Re-colonization of bacteria in the lower airways occurred at a median of 23 days after transplantation in our cohort. In our patient cohort, survival was not influenced by re-colonization or bacterial species.",2077-0383 (Print) 2077-0383 (Linking),2021 Mar 19,"['ORCID: 0000-0002-7959-6454', 'ORCID: 0000-0003-3836-411X', 'ORCID: 0000-0003-0268-3717', 'ORCID: 0000-0001-9740-1246']","['jcm10061275 [pii]', '10.3390/jcm10061275 [doi]']",['eng'],Switzerland,"['colonization', 'cystic fibrosis', 'lung transplantation']",,,
1413,33796488,"['Cuenod, Aline', 'Foucault, Frederic', 'Pfluger, Valentin', 'Egli, Adrian']",Factors Associated With MALDI-TOF Mass Spectral Quality of Species Identification in Clinical Routine Diagnostics.,"Background: An accurate and timely identification of bacterial species is critical in clinical diagnostics. Species identification allows a potential first adaptation of empiric antibiotic treatments before the resistance profile is available. Matrix assisted Laser Desorption Ionization Time of Flight mass spectrometry (MALDI-TOF MS) is a widely used method for bacterial species identification. However, important challenges in species identification remain. These arise from (i) incomplete databases, (ii) close relatedness of species of interest, and (iii) spectral quality, which is currently vaguely defined. Methods: We selected 47 clinically relevant bacterial isolates from 39 species, which can be challenging to identify by MALDI-TOF MS. We measured these isolates under various analytical conditions on two MALDI-TOF MS systems. First, we identified spectral features, which were associated with correct species identification in three different databases. Considering these features, we then systematically compared spectra produced with three different sample preparation protocols. In addition, we varied quantities of bacterial colony material applied and bacterial colony age. Results: We identified (i) the number of ribosomal marker peaks detected, (ii) the median relative intensity of ribosomal marker peaks, (iii) the sum of the intensity of all detected peaks, (iv) a high measurement precision, and (v) reproducibility of peaks to act as good proxies of spectral quality. We found that using formic acid, measuring bacterial colonies at a young age, and frequently calibrating the MALDI-TOF MS device increase mass spectral quality. We further observed significant differences in spectral quality between different bacterial taxa and optimal measurement conditions vary per taxon. Conclusion: We identified and applied quality measures for MALDI-TOF MS and optimized spectral quality in routine settings. Phylogenetic marker peaks can be reproducibly detected and provide an increased resolution and the ability to distinguish between challenging species such as those within the Enterobacter cloacae complex, Burkholderia cepacia complex, or viridans streptococci.",2235-2988 (Electronic) 2235-2988 (Linking),2021,,['10.3389/fcimb.2021.646648 [doi]'],['eng'],Switzerland,"['MALDI-TOF mass spectrometry', 'microbial diagnostics', 'quality control', 'species identification', 'standardisation']","['Copyright (c) 2021 Cuenod, Foucault, Pfluger and Egli.']",,
1414,25614521,"['Gupta, Vishal', 'Khute, Prakash', 'Patel, Anjali', 'Gupta, Somesh']",Non-healing genital herpes mimicking donovanosis in an immunocompetent man.,"Although atypical presentations of herpetic infection in immunocompetent individuals are common, they very rarely have the extensive, chronic and verrucous appearances seen in the immunocompromised host. We report a case of genital herpes manifesting as painless chronic non-healing genital ulcers with exuberant granulation tissue in an immunocompetent man. Owing to this morphology, the ulcers were initially mistaken for donovanosis. To the best of our knowledge, such a presentation of genital herpes in an immunocompetent individual has not been described previously.",1758-1052 (Electronic) 0956-4624 (Linking),2016 Jan,,"['0956462415568983 [pii]', '10.1177/0956462415568983 [doi]']",['eng'],England,"['Herpes simplex virus', 'atypical manifestations', 'genital herpes', 'immunocompetent', 'sexually transmitted infections']",['(c) The Author(s) 2015.'],"['0 (Antiviral Agents)', 'X4HES1O11F (Acyclovir)']","['Acyclovir/therapeutic use', 'Antiviral Agents/therapeutic use', 'Calymmatobacterium/isolation & purification', 'Diagnosis, Differential', 'Granuloma Inguinale/diagnosis', 'HIV-1', 'Herpes Genitalis/*diagnosis/drug therapy/virology', 'Herpesvirus 1, Human', 'Herpesvirus 2, Human/drug effects/*isolation & purification', 'Humans', 'Immunocompetence', 'Male', 'Polymerase Chain Reaction', 'Simplexvirus', 'Treatment Outcome', 'Ulcer/drug therapy']"
1415,26396449,"['Sri, K Navya', 'Chowdary, A Swetha', 'Reddy, B S N']",Genital donovanosis with malignant transformation: An interesting case report.,"Donovanosis is a chronic indolent sexually transmitted granulomatous ulceration of genito-inguinal region, caused by Calymmatobacterium granulomatis. It became uncommon due to indiscriminate use of broad spectrum antibiotics. In recent years, much interest is being focused on this condition because genital ulcers facilitate HIV infection. We report an interesting episode of genital donovanosis complicated with squamous cell carcinoma in a middle aged female for its rarity and clinical interest.",2589-0557 (Print) 2589-0557 (Linking),2014 Jul-Dec,,"['10.4103/0253-7184.142409 [doi]', 'IJSTD-35-135 [pii]']",['eng'],India,"['Donovan bodies', 'donovanosis', 'malignant transformation']",,,
